model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,2,2,3,0,0,32,1450.555,1982.3,801.5,155.84
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,2,5,3,0,0,32,3897.554,8242.0,2091.1,418.96
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,2,10,3,0,0,32,7022.765,26870.3,3658.6,755.7
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,2,20,3,0,0,32,15890.344,93735.0,7756.3,1710.9
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,2,30,3,0,0,32,23782.731,203830.3,10698.0,2560.53
meta-llama/Llama-3.1-8B-Instruct,gsmhard,2,2,3,0,0,32,2199.096,1895.4,1217.6,236.03
meta-llama/Llama-3.1-8B-Instruct,gsmhard,2,5,3,0,0,32,6360.022,8341.6,3492.1,683.15
meta-llama/Llama-3.1-8B-Instruct,gsmhard,2,10,3,0,0,32,12589.895,28532.8,6713.0,1353.02
meta-llama/Llama-3.1-8B-Instruct,gsmhard,2,20,3,0,0,32,25443.104,103955.0,12814.0,2735.99
meta-llama/Llama-3.1-8B-Instruct,gsmhard,2,30,3,0,0,32,40113.964,226872.2,19217.5,4310.03
meta-llama/Llama-3.1-8B-Instruct,gpqa,2,2,3,0,0,32,2257.422,3236.6,1242.4,242.39
meta-llama/Llama-3.1-8B-Instruct,gpqa,2,5,3,0,0,32,5688.528,11601.9,3097.5,610.86
meta-llama/Llama-3.1-8B-Instruct,gpqa,2,10,3,0,0,32,11759.624,34969.2,6259.7,1263.66
meta-llama/Llama-3.1-8B-Instruct,gpqa,2,20,3,0,0,32,21081.239,115927.0,10428.1,2267.5
meta-llama/Llama-3.1-8B-Instruct,gpqa,2,30,3,0,0,32,31383.757,242669.4,14410.6,3375.6
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,2,2,3,0,1,32,1394.455,2018.6,769.8,149.96
