model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,2,3,0,0,32,149.642,1839.0,496.0,16.22
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,5,3,0,0,32,393.4,7194.6,1296.0,42.91
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,10,3,0,0,32,926.007,23180.7,2605.4,100.55
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,20,3,0,0,32,2631.404,83051.9,5480.9,284.61
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,30,3,0,0,32,5302.021,182302.6,8604.6,571.93
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,2,3,0,0,32,381.053,1862.4,862.5,41.14
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,5,3,0,0,32,598.633,8104.4,2018.1,64.67
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,10,3,0,0,32,1434.323,27726.0,4118.0,154.58
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,20,3,0,0,32,3731.029,102066.3,8538.0,402.5
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,30,3,0,0,32,6871.406,223325.8,12162.9,740.26
Qwen/Qwen2.5-7B-Instruct,gpqa,16,2,3,0,0,32,216.016,3091.1,642.4,23.31
Qwen/Qwen2.5-7B-Instruct,gpqa,16,5,3,0,0,32,499.084,10794.2,1621.4,54.04
Qwen/Qwen2.5-7B-Instruct,gpqa,16,10,3,0,0,32,1176.403,31710.1,3220.9,127.31
Qwen/Qwen2.5-7B-Instruct,gpqa,16,20,3,0,0,32,3453.712,105845.2,7160.7,372.75
Qwen/Qwen2.5-7B-Instruct,gpqa,16,30,3,0,0,32,6804.225,222669.8,10978.1,733.29
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,2,3,0,1,32,171.447,1862.2,526.1,18.51
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,5,3,0,1,32,414.655,7334.6,1386.8,45.1
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,10,3,0,1,32,994.375,23711.7,2833.9,107.6
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,20,3,0,1,32,2790.008,84941.5,5972.0,301.65
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,30,3,0,1,32,5295.581,183204.8,8871.9,571.07
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,2,3,0,1,32,214.582,1876.1,744.6,23.2
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,5,3,0,1,32,576.314,8207.6,2008.8,62.31
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,10,3,0,1,32,1376.628,27921.4,4145.9,148.7
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,20,3,0,1,32,3688.747,103019.9,8262.8,398.04
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,30,3,0,1,32,6921.918,223890.7,12462.2,745.7
Qwen/Qwen2.5-7B-Instruct,gpqa,16,2,3,0,1,32,203.828,2475.4,615.1,22.18
Qwen/Qwen2.5-7B-Instruct,gpqa,16,5,3,0,1,32,514.165,9076.6,1612.9,55.57
Qwen/Qwen2.5-7B-Instruct,gpqa,16,10,3,0,1,32,1138.312,28151.6,3173.8,123.16
Qwen/Qwen2.5-7B-Instruct,gpqa,16,20,3,0,1,32,3208.753,97101.3,6509.8,346.79
Qwen/Qwen2.5-7B-Instruct,gpqa,16,30,3,0,1,32,6350.45,207381.6,9895.1,684.63
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,2,3,0,2,32,226.003,1841.4,525.5,24.46
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,5,3,0,2,32,390.108,7184.3,1303.4,42.42
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,10,3,0,2,32,944.577,23192.9,2627.2,102.38
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,20,3,0,2,32,2719.53,83211.3,5551.1,293.94
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,16,30,3,0,2,32,5307.226,179642.9,8661.5,572.85
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,2,3,0,2,32,209.161,1843.1,707.6,22.67
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,5,3,0,2,32,589.96,7962.9,1909.4,63.69
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,10,3,0,2,32,1346.37,27395.9,3862.2,145.37
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,20,3,0,2,32,3585.333,100805.1,7817.8,386.69
Qwen/Qwen2.5-7B-Instruct,gsmhard,16,30,3,0,2,32,6801.305,219857.1,11474.0,732.62
