model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,1,1,0,32,37.583,177.8,98.1,4.84
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,1,1,0,32,116.314,143.8,153.2,12.5
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,1,1,0,32,123.835,367.8,161.8,13.33
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,2,1,0,32,147.706,479.3,263.1,15.8
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,2,1,0,32,236.178,432.6,361.7,25.37
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,2,1,0,32,204.299,877.3,342.6,22.03
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,3,1,0,32,223.699,895.5,403.8,24.11
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,3,1,0,32,356.936,833.7,580.7,38.36
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,3,1,0,32,322.261,1498.1,569.6,34.76
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,4,1,0,32,286.245,1422.7,551.7,30.93
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,4,1,0,32,480.802,1351.8,820.2,51.58
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,4,1,0,32,495.734,2251.2,850.9,53.26
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,5,1,0,32,579.28,2086.0,843.4,62.39
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,5,1,0,32,605.302,1991.2,986.8,64.96
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,5,1,0,32,633.6,3115.3,1242.8,68.23
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,6,1,0,32,658.051,2870.4,1103.2,70.69
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,6,1,0,32,735.448,2747.9,1245.4,79.02
