model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,1,1,0,256,19.305,182.2,97.1,16.62
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,1,1,0,256,20.867,147.0,172.6,17.95
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,1,1,0,198,27.968,300.4,136.7,18.59
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,2,1,0,256,40.962,486.9,267.4,35.35
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,2,1,0,256,43.076,436.5,351.8,37.1
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,2,1,0,198,58.824,738.3,389.0,39.16
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,3,1,0,256,69.079,903.1,434.5,59.48
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,3,1,0,256,71.394,838.0,531.0,61.51
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,3,1,0,198,100.545,1293.5,655.4,66.94
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,4,1,0,256,96.503,1431.3,585.3,83.28
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,4,1,0,256,101.002,1359.7,733.2,87.22
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,4,1,0,198,138.453,1970.7,914.4,92.07
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,5,1,0,256,126.728,2076.6,731.4,109.28
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,5,1,0,256,135.746,2000.4,968.9,117.02
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,5,1,0,198,181.793,2762.4,1201.6,121.04
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,6,1,0,256,160.254,2842.8,892.1,138.0
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,6,1,0,256,168.047,2760.0,1147.2,144.93
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,6,1,0,198,223.85,3683.2,1421.3,148.93
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,1,1,1,256,19.541,183.0,96.2,16.83
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,1,1,1,256,20.463,147.8,160.1,17.65
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,1,1,1,198,28.236,300.4,131.2,18.84
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,2,1,1,256,40.724,487.5,247.5,35.05
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,2,1,1,256,42.829,438.0,336.8,37.14
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,2,1,1,198,60.282,738.8,410.9,40.14
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,3,1,1,256,67.918,899.9,396.4,58.45
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,3,1,1,256,73.267,838.3,554.4,63.27
