model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,1,1,0,256,6.949,181.1,61.5,5.99
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,1,1,0,256,8.607,146.7,108.4,7.73
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,1,1,0,198,11.752,299.5,76.5,8.09
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,2,1,0,256,16.525,465.2,146.2,14.81
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,2,1,0,256,29.138,431.6,249.5,25.42
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,2,1,0,198,25.392,717.2,184.1,17.26
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,3,1,0,256,22.287,840.3,240.4,20.4
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,3,1,0,256,33.269,827.6,381.6,29.46
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,3,1,0,198,42.094,1238.3,309.8,28.44
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,4,1,0,256,30.697,1309.4,330.8,27.46
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,4,1,0,256,58.988,1347.2,526.6,51.36
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,4,1,0,198,49.54,1860.2,412.6,33.85
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,5,1,0,256,44.622,1879.9,430.5,39.88
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,5,1,0,256,71.723,1985.7,656.3,62.85
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,5,1,0,198,79.873,2595.2,523.0,53.9
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,6,1,0,256,64.204,2541.1,521.7,56.77
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,6,1,0,256,94.917,2740.1,780.7,82.74
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,6,1,0,198,96.982,3434.2,627.1,65.58
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,1,1,1,256,7.071,181.6,62.0,6.33
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,1,1,1,256,8.988,148.0,107.8,8.02
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,1,1,1,198,9.944,299.5,77.8,6.99
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,2,1,1,256,19.69,466.7,150.7,17.46
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,2,1,1,256,18.311,432.7,242.1,16.11
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,2,1,1,198,24.514,716.0,189.3,16.71
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,3,1,1,256,22.372,841.9,243.7,19.91
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,3,1,1,256,36.206,829.1,381.3,31.58
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,3,1,1,198,34.071,1233.3,302.8,23.27
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,4,1,1,256,46.203,1310.5,337.7,40.31
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,4,1,1,256,50.349,1345.3,516.9,44.17
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,4,1,1,198,58.3,1856.3,421.1,39.39
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,5,1,1,256,62.156,1881.6,436.9,54.37
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,5,1,1,256,83.2,1971.7,658.1,71.91
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,5,1,1,198,81.064,2590.3,544.8,54.9
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,6,1,1,256,72.328,2543.7,516.8,63.57
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,6,1,1,256,97.09,2725.7,796.0,84.74
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,6,1,1,198,95.963,3427.7,655.9,64.99
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,1,1,2,256,7.157,179.1,60.9,6.63
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,1,1,2,256,8.506,146.4,105.0,7.62
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,1,1,2,198,9.065,299.5,76.0,6.25
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,2,1,2,256,15.877,460.7,145.2,14.31
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,2,1,2,256,27.243,428.3,239.1,23.96
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,2,1,2,198,18.822,716.2,181.8,12.86
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,3,1,2,256,25.136,827.7,235.4,22.46
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,3,1,2,256,46.419,822.3,379.3,40.43
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,3,1,2,198,38.635,1229.7,296.8,26.22
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,4,1,2,256,33.902,1290.4,321.4,30.22
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,4,1,2,256,49.96,1330.5,497.3,43.64
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,4,1,2,198,45.074,1856.6,410.4,30.6
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,5,1,2,256,47.826,1851.4,419.8,42.63
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,5,1,2,256,67.178,1962.9,634.8,59.09
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,5,1,2,198,72.662,2590.0,524.2,49.29
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,6,1,2,256,65.701,2503.6,505.7,58.25
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,6,1,2,256,95.064,2711.2,766.2,83.08
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,6,1,2,198,119.384,3433.9,673.5,80.05
