model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,1,0,32,20.386,176.3,62.2,2.18
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,1,0,32,108.808,143.3,130.5,11.67
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,1,0,32,25.13,366.7,80.9,2.72
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,1,0,32,61.428,456.9,162.0,6.7
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,2,1,0,32,62.185,422.8,248.4,6.75
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,2,1,0,32,53.761,854.4,185.3,5.82
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,3,1,0,32,99.532,828.8,263.1,10.78
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,3,1,0,32,168.627,815.3,407.9,18.15
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,3,1,0,32,77.652,1444.8,300.5,8.31
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,4,1,0,32,100.044,1294.6,334.7,10.84
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,4,1,0,32,170.777,1324.9,526.6,18.46
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,4,1,0,32,114.319,2139.1,406.5,12.46
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,5,1,0,32,181.319,1864.7,464.2,19.53
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,5,1,0,32,291.326,1947.4,677.9,31.41
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,5,1,0,32,153.014,2967.3,560.9,16.49
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,6,1,0,32,230.821,2513.5,569.4,24.97
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,6,1,0,32,246.631,2691.9,789.8,26.56
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,6,1,0,32,195.785,3874.1,645.3,21.04
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,1,1,32,24.263,177.6,69.5,2.54
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,1,1,32,26.956,147.3,108.1,2.92
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,1,1,32,27.119,267.5,75.8,2.92
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,1,1,32,54.961,463.6,160.8,5.85
