model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,1,1,0,32,117.438,177.8,122.2,12.54
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,1,1,0,32,119.059,143.8,213.3,12.81
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,1,1,0,32,124.665,367.8,172.9,13.43
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,2,1,0,32,152.489,481.8,265.2,16.39
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,2,1,0,32,187.147,430.2,323.2,20.08
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,2,1,0,32,186.556,876.2,357.2,20.08
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,3,1,0,32,277.77,896.7,420.5,29.74
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,3,1,0,32,314.727,831.0,583.7,33.88
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,3,1,0,32,389.269,1504.0,600.2,41.81
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,4,1,0,32,403.845,1421.6,575.2,43.37
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,4,1,0,32,444.651,1351.0,800.0,47.92
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,4,1,0,32,526.548,2247.2,796.8,56.49
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,5,1,0,32,468.498,2079.8,761.5,50.34
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,5,1,0,32,574.922,1991.3,916.6,61.72
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,5,1,0,32,674.841,3113.7,1119.3,72.27
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,6,1,0,32,532.489,2819.2,852.7,57.18
