model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,1,0,32,22.425,176.3,62.0,2.33
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,1,0,32,22.328,143.3,101.5,2.47
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,1,0,32,33.117,366.7,81.9,4.53
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,1,0,32,53.843,456.0,151.2,5.82
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,2,1,0,32,71.065,422.1,239.1,7.62
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,2,1,0,32,63.67,853.2,190.4,6.8
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,3,1,0,32,82.849,825.7,242.9,8.89
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,3,1,0,32,180.814,812.0,399.1,19.48
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,3,1,0,32,93.319,1439.5,301.0,10.02
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,4,1,0,32,159.911,1294.9,360.4,17.28
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,4,1,0,32,241.148,1319.7,549.5,25.98
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,4,1,0,32,145.366,2139.1,418.1,15.63
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,5,1,0,32,213.546,1870.5,468.3,22.86
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,5,1,0,32,300.155,1946.1,685.6,32.2
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,5,1,0,32,202.681,2938.9,538.9,21.62
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,6,1,0,32,268.06,2521.0,571.1,28.77
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,6,1,0,32,233.969,2685.7,751.8,25.29
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,6,1,0,32,248.133,3852.0,647.2,26.61
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,1,1,32,23.352,177.6,68.8,2.59
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,1,1,32,33.65,147.3,109.1,3.71
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,1,1,32,29.063,267.5,70.8,3.11
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,1,1,32,57.251,461.9,165.4,6.17
