model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,1,1,0,32,32.635,177.8,96.3,3.48
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,1,1,0,32,117.163,143.8,167.1,12.56
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,1,1,0,32,123.063,367.8,161.8,13.29
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,2,1,0,32,158.906,481.2,274.2,17.09
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,2,1,0,32,237.973,430.7,415.6,25.66
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,2,1,0,32,249.856,876.4,456.6,26.82
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,3,1,0,32,267.213,898.1,452.1,28.7
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,3,1,0,32,356.774,833.5,565.1,38.34
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,3,1,0,32,370.511,1498.2,680.0,39.9
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,4,1,0,32,387.752,1421.8,629.7,41.72
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,4,1,0,32,481.194,1355.1,879.3,51.76
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,4,1,0,32,423.419,2249.0,958.7,45.5
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,5,1,0,32,457.078,2077.0,795.7,49.29
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,5,1,0,32,485.353,1986.5,963.9,52.11
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,5,1,0,32,628.1,3125.1,1150.3,67.46
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,6,1,0,32,492.452,2857.9,909.3,52.81
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,6,1,0,32,595.776,2745.0,1103.1,64.04
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,6,1,0,32,729.281,4104.4,1405.8,78.48
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,1,1,1,32,28.616,179.7,93.9,3.08
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,1,1,1,32,120.134,147.2,231.3,12.83
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,1,1,1,32,119.772,268.3,146.2,12.85
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,2,1,1,32,64.144,483.6,209.0,6.91
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,2,1,1,32,237.336,439.2,369.5,25.48
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,2,1,1,32,241.002,673.5,391.8,25.85
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,3,1,1,32,132.467,893.7,363.8,14.39
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,3,1,1,32,290.843,841.1,540.4,31.32
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,3,1,1,32,362.706,1194.1,664.2,39.0
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,4,1,1,32,186.121,1419.1,501.4,20.07
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,4,1,1,32,320.35,1365.2,635.3,34.34
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,4,1,1,32,491.171,1836.7,958.0,52.77
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,5,1,1,32,306.212,2060.7,664.1,32.94
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,5,1,1,32,448.448,2015.2,906.4,48.31
