model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,1,0,32,21.429,176.3,61.1,2.31
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,1,0,32,22.185,143.3,103.8,2.41
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,1,0,32,24.062,366.7,83.0,2.58
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,1,0,32,57.742,455.9,161.9,6.21
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,2,1,0,32,133.892,422.6,267.5,14.47
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,2,1,0,32,57.929,856.8,193.1,6.29
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,3,1,0,32,101.069,828.3,260.8,10.92
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,3,1,0,32,104.007,814.5,382.2,11.18
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,3,1,0,32,74.442,1449.5,304.1,8.0
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,4,1,0,32,92.58,1292.0,332.8,10.01
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,4,1,0,32,129.759,1320.0,502.0,14.02
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,4,1,0,32,118.319,2150.2,418.2,12.69
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,5,1,0,32,145.974,1866.5,447.8,15.85
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,5,1,0,32,212.315,1956.2,655.4,22.78
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,5,1,0,32,148.003,2962.4,533.1,16.01
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,6,1,0,32,146.691,2502.0,514.5,15.88
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,6,1,0,32,216.326,2688.5,780.5,23.19
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,6,1,0,32,170.166,3886.7,665.7,18.26
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,1,1,32,23.311,177.6,68.9,2.53
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,1,1,32,29.967,147.3,107.8,3.23
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,1,1,32,27.075,267.5,73.5,2.91
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,1,1,32,54.234,463.0,162.1,5.79
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,2,1,1,32,61.479,435.1,247.2,6.61
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,2,1,1,32,68.142,646.6,167.1,7.38
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,3,1,1,32,74.738,845.1,267.7,8.09
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,3,1,1,32,96.392,835.8,376.6,10.38
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,3,1,1,32,96.932,1125.0,277.5,10.35
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,4,1,1,32,98.875,1315.8,353.6,10.73
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,4,1,1,32,133.712,1357.9,527.2,14.44
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,4,1,1,32,155.117,1694.4,381.5,16.68
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,5,1,1,32,127.722,1875.9,452.3,13.8
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,5,1,1,32,163.34,1999.1,650.2,17.81
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,5,1,1,32,157.287,2376.5,473.8,16.89
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,6,1,1,32,156.08,2567.6,560.8,16.71
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,6,1,1,32,207.8,2761.6,806.2,23.68
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,6,1,1,32,226.392,3171.6,611.8,24.26
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,1,2,32,23.225,175.8,62.3,2.55
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,1,2,32,21.385,142.5,95.3,2.31
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,1,2,32,19.583,361.4,61.4,2.09
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,1,2,32,52.491,453.6,148.8,5.64
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,2,1,2,32,72.081,418.5,223.8,7.78
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,2,1,2,32,73.338,831.2,167.8,8.09
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,3,1,2,32,80.767,815.9,240.0,8.8
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,3,1,2,32,92.309,803.0,347.5,9.88
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,3,1,2,32,58.497,1397.7,253.4,6.25
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,4,1,2,32,124.932,1281.8,342.3,13.44
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,4,1,2,32,120.18,1303.7,465.0,12.88
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,4,1,2,32,81.657,2062.1,349.4,8.77
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,5,1,2,32,141.866,1842.0,433.5,15.37
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,5,1,2,32,160.727,1924.2,589.3,17.19
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,5,1,2,32,106.397,2845.6,458.6,11.57
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,6,1,2,32,174.516,2493.5,527.1,18.79
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,6,1,2,32,289.176,2661.7,752.7,31.3
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,6,1,2,32,151.953,3721.0,556.1,16.21
