model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,1,0,0,32,29.722,177.8,92.1,3.24
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,1,0,0,32,118.272,143.8,194.8,12.65
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,1,0,0,32,123.724,367.8,161.8,13.27
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,2,0,0,32,147.699,478.8,272.2,15.93
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,2,0,0,32,237.872,432.8,398.6,25.55
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,2,0,0,32,247.508,875.8,433.7,26.67
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,3,0,0,32,263.125,803.8,446.7,28.2
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,3,0,0,32,352.333,721.9,568.4,37.8
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,3,0,0,32,367.267,1394.0,689.6,39.45
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,4,0,0,32,400.703,1128.5,629.6,43.1
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,4,0,0,32,469.761,1011.7,719.7,50.35
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,4,0,0,32,403.372,1910.2,766.9,43.32
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,5,0,0,32,472.542,1457.2,770.8,50.76
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,5,0,0,32,594.211,1293.8,1102.7,63.96
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,5,0,0,32,532.769,2428.3,1107.3,57.25
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,6,0,0,32,540.93,1783.3,939.8,58.27
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,6,0,0,32,709.178,1574.8,1243.9,76.21
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,6,0,0,32,728.756,2945.2,1382.3,78.32
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,1,0,1,32,26.894,179.7,94.0,2.99
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,1,0,1,32,117.298,147.2,172.6,12.59
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,1,0,1,32,119.108,268.3,141.4,12.81
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,2,0,1,32,166.873,484.3,245.2,18.05
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,2,0,1,32,237.341,438.5,420.4,25.53
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,2,0,1,32,240.762,673.3,399.1,25.89
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,3,0,1,32,226.417,800.6,424.0,24.34
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,3,0,1,32,281.455,731.2,525.9,30.3
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,1,3,0,1,32,364.748,1091.2,819.2,39.13
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,1,4,0,1,32,392.938,1123.0,638.9,42.23
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,1,4,0,1,32,318.791,1021.2,656.6,34.16
