model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,1,0,0,256,19.657,182.2,101.2,16.92
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,1,0,0,256,20.661,147.0,167.3,17.73
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,1,0,0,198,28.19,300.4,135.3,18.78
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,2,0,0,256,40.235,487.0,245.7,34.68
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,2,0,0,256,44.773,436.2,385.7,38.54
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,2,0,0,198,58.108,738.2,381.2,38.67
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,3,0,0,256,65.942,812.2,416.9,56.81
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,3,0,0,256,68.642,727.4,548.6,59.07
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,3,0,0,198,97.313,1190.0,676.8,64.73
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,4,0,0,256,87.834,1138.8,583.3,75.72
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,4,0,0,256,93.128,1018.3,781.1,80.22
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,4,0,0,198,127.601,1640.7,917.2,84.85
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,5,0,0,256,108.565,1463.3,726.2,93.61
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,5,0,0,256,113.241,1306.3,926.7,97.53
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,5,0,0,198,161.444,2091.3,1218.8,107.48
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,6,0,0,256,129.327,1788.9,863.8,111.62
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,6,0,0,256,134.724,1596.0,1132.0,116.2
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,6,0,0,198,194.858,2538.7,1535.5,129.63
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,1,0,1,256,19.865,183.0,101.1,17.17
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,1,0,1,256,20.45,147.8,160.1,17.62
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,1,0,1,198,28.214,300.4,134.8,18.81
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,2,0,1,256,40.661,487.9,249.2,35.1
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,2,0,1,256,44.052,438.2,372.5,38.18
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,2,0,1,198,60.485,739.2,419.8,40.29
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,3,0,1,256,66.31,811.6,414.6,57.06
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,3,0,1,256,68.835,727.4,543.8,59.44
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,3,0,1,198,96.467,1190.7,655.0,64.17
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,4,0,1,256,86.748,1134.2,559.6,74.78
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,4,0,1,256,90.585,1016.2,724.5,78.02
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,4,0,1,198,130.933,1641.4,977.7,87.19
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,5,0,1,256,107.931,1461.1,711.3,93.02
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,5,0,1,256,111.115,1306.4,881.3,95.75
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,5,0,1,198,158.264,2091.3,1152.2,105.28
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,6,0,1,256,129.902,1785.7,885.0,111.98
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,6,0,1,256,132.624,1595.0,1081.3,114.24
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,6,0,1,198,191.93,2543.3,1451.6,127.76
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,1,0,2,256,12.431,180.2,86.8,10.71
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,1,0,2,256,21.157,146.6,172.4,18.4
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,1,0,2,198,28.411,300.4,135.9,18.97
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,2,0,2,256,32.495,481.3,245.7,28.27
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,2,0,2,256,43.012,434.1,347.0,37.02
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,2,0,2,198,58.453,738.7,382.2,39.13
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,3,0,2,256,56.75,803.0,422.6,49.15
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,3,0,2,256,67.946,725.3,519.6,58.48
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,3,0,2,198,97.119,1188.3,650.2,64.57
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,4,0,2,256,79.752,1125.5,588.9,69.04
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,4,0,2,256,90.093,1014.4,712.7,77.84
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,4,0,2,198,129.05,1638.2,938.3,85.92
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,5,0,2,256,108.863,1452.6,728.5,93.75
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,5,0,2,256,109.957,1303.6,851.2,94.85
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,5,0,2,198,163.169,2089.9,1245.1,108.49
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,256,1,6,0,2,256,130.266,1773.3,897.1,112.25
meta-llama/Llama-3.1-8B-Instruct,gsmhard,256,1,6,0,2,256,132.363,1593.5,1087.2,114.05
meta-llama/Llama-3.1-8B-Instruct,gpqa,256,1,6,0,2,198,192.257,2541.5,1464.8,128.05
