model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,1,0,0,256,6.833,181.1,59.8,5.91
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,1,0,0,256,9.257,146.7,110.6,8.18
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,1,0,0,198,11.82,299.5,78.7,8.1
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,2,0,0,256,16.651,465.2,147.9,14.89
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,2,0,0,256,30.321,431.2,249.5,26.31
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,2,0,0,198,25.704,717.4,184.5,17.49
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,3,0,0,256,20.678,768.8,238.6,18.78
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,3,0,0,256,43.873,720.9,382.1,38.35
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,3,0,0,198,32.689,1150.5,303.3,22.24
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,4,0,0,256,29.298,1076.3,336.6,26.51
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,4,0,0,256,54.554,1012.2,514.9,47.62
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,4,0,0,198,45.082,1587.9,419.9,30.65
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,5,0,0,256,37.692,1382.2,432.4,33.91
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,5,0,0,256,53.701,1302.6,646.9,47.31
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,5,0,0,198,63.267,2020.1,530.9,43.0
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,6,0,0,256,47.328,1691.7,528.0,42.29
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,6,0,0,256,66.941,1594.5,796.7,59.08
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,6,0,0,198,71.984,2457.4,639.7,49.01
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,1,0,1,256,6.233,181.6,61.1,5.39
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,1,0,1,256,17.642,148.0,111.1,15.49
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,1,0,1,198,9.065,299.5,77.2,6.25
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,2,0,1,256,19.329,466.9,149.9,17.15
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,2,0,1,256,27.271,432.6,245.0,23.77
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,2,0,1,198,20.947,715.6,186.3,14.24
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,3,0,1,256,27.712,770.7,245.1,24.56
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,3,0,1,256,30.712,724.2,380.3,26.85
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,3,0,1,198,41.063,1147.8,302.9,27.91
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,4,0,1,256,38.713,1076.3,337.4,33.86
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,4,0,1,256,40.78,1015.6,512.7,36.18
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,4,0,1,198,55.494,1583.6,427.6,37.46
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,5,0,1,256,62.79,1382.5,432.3,54.57
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,5,0,1,256,64.605,1308.2,661.9,56.19
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,5,0,1,198,73.376,2018.7,536.2,49.54
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,6,0,1,256,56.81,1693.1,525.4,50.07
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,6,0,1,256,82.198,1599.4,806.4,71.82
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,6,0,1,198,68.013,2452.5,636.7,46.35
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,1,0,2,256,6.313,179.1,59.9,5.56
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,1,0,2,256,8.705,146.4,110.1,7.72
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,1,0,2,198,8.145,299.5,74.7,5.63
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,2,0,2,256,15.875,459.6,142.2,14.2
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,2,0,2,256,20.092,427.6,237.2,17.88
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,2,0,2,198,21.007,716.0,182.8,14.46
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,3,0,2,256,23.965,758.9,231.3,21.27
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,1,3,0,2,256,29.37,717.0,368.3,25.97
Qwen/Qwen2.5-7B-Instruct,gpqa,256,1,3,0,2,198,31.302,1148.7,296.7,21.5
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,1,4,0,2,256,37.812,1063.0,329.2,33.4
