model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,0,0,32,20.508,176.3,62.5,2.2
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,0,0,32,21.325,143.3,98.7,2.28
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,0,0,32,25.086,366.7,83.1,2.71
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,0,0,32,51.101,455.8,153.1,5.54
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,2,0,0,32,70.571,421.8,250.0,7.65
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,2,0,0,32,54.71,856.0,189.1,6.02
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,3,0,0,32,101.346,756.5,275.3,11.03
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,3,0,0,32,168.421,705.3,397.8,18.09
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,3,0,0,32,70.373,1356.8,298.0,7.81
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,4,0,0,32,144.307,1062.1,398.7,15.6
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,4,0,0,32,275.557,995.1,555.6,29.67
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,4,0,0,32,111.061,1866.4,422.7,11.96
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,5,0,0,32,200.528,1364.5,514.6,21.71
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,5,0,0,32,161.389,1280.9,632.7,17.37
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,5,0,0,32,109.266,2363.7,502.2,11.93
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,6,0,0,32,235.086,1670.7,625.5,25.29
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,6,0,0,32,204.953,1565.0,743.8,22.2
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,6,0,0,32,150.374,2874.1,628.7,16.1
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,0,1,32,22.194,177.6,68.1,2.46
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,0,1,32,27.952,147.3,108.2,2.97
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,0,1,32,26.898,267.5,75.8,2.94
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,0,1,32,52.165,462.4,159.6,5.75
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,2,0,1,32,61.44,433.8,242.4,6.58
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,2,0,1,32,69.061,647.3,181.2,7.45
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,3,0,1,32,74.508,763.4,254.5,8.02
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,3,0,1,32,95.168,725.3,378.9,10.22
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,3,0,1,32,107.32,1043.6,286.1,11.56
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,4,0,1,32,109.955,1074.1,379.2,11.85
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,4,0,1,32,191.743,1020.0,514.7,20.59
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,4,0,1,32,160.42,1436.7,392.1,17.28
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,5,0,1,32,123.313,1379.8,456.1,13.28
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,5,0,1,32,165.697,1308.5,647.5,17.86
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,5,0,1,32,204.03,1839.7,491.7,22.15
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,6,0,1,32,147.431,1671.8,531.4,16.06
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,6,0,1,32,198.425,1601.5,786.7,21.55
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,6,0,1,32,247.17,2236.5,609.8,26.92
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,1,0,2,32,23.178,175.8,62.0,2.55
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,1,0,2,32,31.644,142.5,99.7,3.4
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,1,0,2,32,19.312,361.4,62.2,2.12
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,2,0,2,32,55.889,453.9,149.7,6.02
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,2,0,2,32,68.958,415.6,215.8,7.45
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,2,0,2,32,40.76,830.8,152.8,4.4
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,3,0,2,32,111.874,750.7,252.2,12.1
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,3,0,2,32,174.989,699.6,364.8,18.73
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,3,0,2,32,57.12,1319.5,248.3,6.13
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,4,0,2,32,147.314,1050.3,345.2,15.93
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,4,0,2,32,143.632,983.9,465.9,15.41
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,4,0,2,32,71.131,1807.1,329.8,7.78
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,5,0,2,32,217.89,1351.9,453.8,23.39
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,5,0,2,32,176.088,1269.0,577.4,19.11
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,5,0,2,32,90.535,2292.9,421.0,9.91
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,1,6,0,2,32,297.424,1652.8,561.5,31.96
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,1,6,0,2,32,210.822,1553.6,716.1,22.75
Qwen/Qwen2.5-7B-Instruct,gpqa,64,1,6,0,2,32,110.36,2784.0,506.2,12.0
