model,task,decode_batch,team_size,rounds,carry_history,enable_thinking,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,per_query_think_tok,per_query_answer_tok,accuracy,trunc_frac,wall_latency_s
Qwen/Qwen3-8B,mmlu_hard,64,1,1,1,0,0,32,465.575,159.3,235.1,1.0,234.1,0.5938,0.031,49.86
Qwen/Qwen3-8B,gsmhard,64,1,1,1,0,0,32,492.63,126.3,497.8,0.9,496.9,0.1562,0.094,52.78
Qwen/Qwen3-8B,gpqa,64,1,1,1,0,0,32,44.79,349.7,105.3,1.0,104.3,0.3438,0.0,4.87
Qwen/Qwen3-8B,mmlu_hard,64,1,2,1,0,0,32,129.777,440.6,232.6,2.0,230.6,0.5938,0.0,13.91
Qwen/Qwen3-8B,gsmhard,64,1,2,1,0,0,32,547.468,393.6,556.7,1.9,554.8,0.375,0.031,58.69
Qwen/Qwen3-8B,gpqa,64,1,2,1,0,0,32,98.167,831.7,249.2,2.0,247.2,0.3125,0.0,10.65
Qwen/Qwen3-8B,mmlu_hard,64,1,3,1,0,0,32,594.746,825.0,475.1,3.0,472.1,0.5938,0.01,63.72
Qwen/Qwen3-8B,gsmhard,64,1,3,1,0,0,32,608.065,775.9,609.5,3.0,606.5,0.375,0.01,65.22
Qwen/Qwen3-8B,gpqa,64,1,3,1,0,0,32,135.216,1434.8,395.5,3.0,392.5,0.3125,0.0,14.74
Qwen/Qwen3-8B,mmlu_hard,64,1,4,1,0,0,32,601.794,1318.7,580.4,4.0,576.5,0.625,0.008,64.47
Qwen/Qwen3-8B,gsmhard,64,1,4,1,0,0,32,686.69,1286.5,1039.9,3.9,1036.0,0.3438,0.023,73.6
Qwen/Qwen3-8B,gpqa,64,1,4,1,0,0,32,155.157,2137.3,494.8,4.0,490.8,0.3438,0.0,16.86
Qwen/Qwen3-8B,mmlu_hard,64,1,5,1,0,0,32,322.897,1923.4,585.8,5.0,580.8,0.625,0.0,34.75
Qwen/Qwen3-8B,gsmhard,64,1,5,1,0,0,32,672.408,1902.7,1111.4,4.9,1106.5,0.3438,0.019,72.29
Qwen/Qwen3-8B,gpqa,64,1,5,1,0,0,32,209.836,2975.5,639.2,5.0,634.2,0.3125,0.0,22.8
Qwen/Qwen3-8B,mmlu_hard,64,1,6,1,0,0,32,342.661,2609.7,678.8,6.0,672.8,0.5938,0.0,36.74
Qwen/Qwen3-8B,gsmhard,64,1,6,1,0,0,32,759.132,2644.6,1173.1,6.0,1167.2,0.3438,0.01,81.51
Qwen/Qwen3-8B,gpqa,64,1,6,1,0,0,32,270.102,3923.4,767.1,6.0,761.1,0.3125,0.0,29.11
Qwen/Qwen3-8B,mmlu_hard,64,1,1,1,0,1,32,19.299,160.6,79.8,1.0,78.8,0.6875,0.0,2.13
Qwen/Qwen3-8B,gsmhard,64,1,1,1,0,1,32,42.079,130.3,154.2,1.0,153.2,0.1875,0.0,4.52
Qwen/Qwen3-8B,gpqa,64,1,1,1,0,1,32,25.906,250.5,85.7,1.0,84.7,0.25,0.0,2.83
Qwen/Qwen3-8B,mmlu_hard,64,1,2,1,0,1,32,485.453,441.7,326.9,2.0,324.9,0.6875,0.016,52.02
Qwen/Qwen3-8B,gsmhard,64,1,2,1,0,1,32,112.325,403.2,328.1,2.0,326.1,0.3125,0.0,12.12
Qwen/Qwen3-8B,gpqa,64,1,2,1,0,1,32,88.096,628.1,229.3,2.0,227.3,0.25,0.0,9.51
Qwen/Qwen3-8B,mmlu_hard,64,1,3,1,0,1,32,555.429,829.8,460.1,3.0,457.2,0.7188,0.01,59.6
Qwen/Qwen3-8B,gsmhard,64,1,3,1,0,1,32,157.758,790.6,473.4,3.0,470.4,0.3125,0.0,17.05
Qwen/Qwen3-8B,gpqa,64,1,3,1,0,1,32,149.152,1111.8,372.4,3.0,369.4,0.25,0.0,16.18
Qwen/Qwen3-8B,mmlu_hard,64,1,4,1,0,1,32,197.883,1330.0,464.0,4.0,460.0,0.6875,0.0,21.17
Qwen/Qwen3-8B,gsmhard,64,1,4,1,0,1,32,187.575,1302.9,616.8,4.0,612.8,0.2812,0.0,20.34
Qwen/Qwen3-8B,gpqa,64,1,4,1,0,1,32,156.779,1707.8,468.0,4.0,464.0,0.25,0.0,16.98
Qwen/Qwen3-8B,mmlu_hard,64,1,5,1,0,1,32,198.311,1952.4,576.8,5.0,571.8,0.6875,0.0,21.47
Qwen/Qwen3-8B,gsmhard,64,1,5,1,0,1,32,244.07,1934.1,759.8,5.0,754.8,0.25,0.0,26.33
Qwen/Qwen3-8B,gpqa,64,1,5,1,0,1,32,190.904,2406.7,563.2,5.0,558.2,0.25,0.0,20.54
Qwen/Qwen3-8B,mmlu_hard,64,1,6,1,0,1,32,200.927,2647.0,637.5,6.0,631.5,0.7188,0.0,21.85
Qwen/Qwen3-8B,gsmhard,64,1,6,1,0,1,32,290.431,2684.3,886.9,6.0,880.9,0.3438,0.0,31.25
Qwen/Qwen3-8B,gpqa,64,1,6,1,0,1,32,226.751,3226.2,666.1,6.0,660.1,0.25,0.0,24.38
Qwen/Qwen3-8B,mmlu_hard,64,1,1,1,0,2,32,27.029,158.8,80.7,1.0,79.7,0.5,0.0,2.92
Qwen/Qwen3-8B,gsmhard,64,1,1,1,0,2,32,480.324,125.5,378.1,1.0,377.1,0.1562,0.062,51.47
Qwen/Qwen3-8B,gpqa,64,1,1,1,0,2,32,42.034,344.4,93.1,1.0,92.1,0.3438,0.0,4.58
Qwen/Qwen3-8B,mmlu_hard,64,1,2,1,0,2,32,71.595,431.9,185.3,2.0,183.3,0.5625,0.0,7.64
Qwen/Qwen3-8B,gsmhard,64,1,2,1,0,2,32,526.231,391.5,524.8,2.0,522.8,0.3125,0.031,56.38
Qwen/Qwen3-8B,gpqa,64,1,2,1,0,2,32,96.888,815.0,224.2,2.0,222.2,0.3125,0.0,10.47
Qwen/Qwen3-8B,mmlu_hard,64,1,3,1,0,2,32,88.494,810.1,296.6,3.0,293.6,0.5625,0.0,9.64
Qwen/Qwen3-8B,gsmhard,64,1,3,1,0,2,32,557.064,772.1,641.9,3.0,639.0,0.2812,0.021,59.83
Qwen/Qwen3-8B,gpqa,64,1,3,1,0,2,32,217.646,1395.1,381.8,3.0,378.8,0.3438,0.0,23.28
Qwen/Qwen3-8B,mmlu_hard,64,1,4,1,0,2,32,158.177,1277.8,406.1,4.0,402.1,0.5938,0.0,17.21
Qwen/Qwen3-8B,gsmhard,64,1,4,1,0,2,32,596.558,1271.0,773.0,4.0,769.0,0.3438,0.016,64.0
Qwen/Qwen3-8B,gpqa,64,1,4,1,0,2,32,181.916,2095.8,486.7,4.0,482.7,0.3438,0.0,19.59
Qwen/Qwen3-8B,mmlu_hard,64,1,5,1,0,2,32,148.781,1867.2,490.4,5.0,485.4,0.5938,0.0,16.12
Qwen/Qwen3-8B,gsmhard,64,1,5,1,0,2,32,664.318,1883.3,1142.2,4.9,1137.3,0.375,0.025,71.44
Qwen/Qwen3-8B,gpqa,64,1,5,1,0,2,32,200.883,2907.0,590.1,5.1,585.0,0.3125,0.0,21.7
Qwen/Qwen3-8B,mmlu_hard,64,1,6,1,0,2,32,181.226,2544.7,588.7,6.0,582.7,0.5938,0.0,19.4
Qwen/Qwen3-8B,gsmhard,64,1,6,1,0,2,32,693.415,2614.1,949.5,6.0,943.5,0.3438,0.005,74.4
Qwen/Qwen3-8B,gpqa,64,1,6,1,0,2,32,300.265,3833.3,714.2,6.0,708.2,0.3125,0.0,32.32
