model,task,decode_batch,team_size,rounds,carry_history,enable_thinking,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,per_query_think_tok,per_query_answer_tok,accuracy,trunc_frac,wall_latency_s
Qwen/Qwen3-8B,mmlu_hard,64,1,1,1,1,0,32,546.962,155.3,1382.0,1313.6,68.4,0.8125,0.062,60.99
Qwen/Qwen3-8B,gsmhard,64,1,1,1,1,0,32,518.479,122.3,1276.2,1188.2,88.0,0.7812,0.094,55.58
Qwen/Qwen3-8B,gpqa,64,1,1,1,1,0,32,733.408,345.7,2968.5,2917.6,50.9,0.375,0.438,78.53
Qwen/Qwen3-8B,mmlu_hard,64,1,2,1,1,0,32,1022.507,426.0,2208.5,2053.1,155.3,0.8438,0.078,109.52
Qwen/Qwen3-8B,gsmhard,64,1,2,1,1,0,32,999.582,381.1,2063.5,1849.4,214.2,0.8125,0.047,107.1
Qwen/Qwen3-8B,gpqa,64,1,2,1,1,0,32,1462.705,791.7,5991.1,5865.4,125.7,0.3438,0.422,156.62
Qwen/Qwen3-8B,mmlu_hard,64,1,3,1,1,0,32,1554.054,776.8,3497.2,3268.1,229.1,0.8125,0.094,166.61
Qwen/Qwen3-8B,gsmhard,64,1,3,1,1,0,32,1515.122,730.8,3022.7,2740.3,282.3,0.7812,0.062,162.41
Qwen/Qwen3-8B,gpqa,64,1,3,1,1,0,32,2171.479,1316.1,8441.8,8243.2,198.6,0.4062,0.385,232.57
Qwen/Qwen3-8B,mmlu_hard,64,1,4,1,1,0,32,2034.782,1270.8,4153.7,3812.9,340.8,0.875,0.039,218.1
Qwen/Qwen3-8B,gsmhard,64,1,4,1,1,0,32,2026.118,1199.8,3995.9,3605.6,390.3,0.8125,0.062,217.16
Qwen/Qwen3-8B,gpqa,64,1,4,1,1,0,32,2834.934,1851.4,11020.0,10782.7,237.3,0.4688,0.453,303.59
Qwen/Qwen3-8B,mmlu_hard,64,1,5,1,1,0,32,2578.44,1796.9,5211.6,4804.8,406.8,0.9062,0.062,276.35
Qwen/Qwen3-8B,gsmhard,64,1,5,1,1,0,32,2523.051,1791.1,4807.5,4312.2,495.2,0.8125,0.044,270.59
Qwen/Qwen3-8B,gpqa,64,1,5,1,1,0,32,3636.494,2524.4,13719.7,13421.4,298.2,0.375,0.444,389.74
Qwen/Qwen3-8B,mmlu_hard,64,1,6,1,1,0,32,3032.246,2461.5,5590.4,5084.1,506.3,0.9062,0.047,324.98
Qwen/Qwen3-8B,gsmhard,64,1,6,1,1,0,32,3120.228,2399.8,6555.1,5977.6,577.5,0.7812,0.094,334.52
Qwen/Qwen3-8B,gpqa,64,1,6,1,1,0,32,4238.671,3299.5,16388.2,15977.8,410.4,0.4375,0.417,454.01
Qwen/Qwen3-8B,mmlu_hard,64,1,1,1,1,1,32,496.71,156.6,977.2,904.9,72.3,0.8438,0.031,53.25
Qwen/Qwen3-8B,gsmhard,64,1,1,1,1,1,32,496.404,126.3,1093.2,985.8,107.4,0.7188,0.031,53.19
Qwen/Qwen3-8B,gpqa,64,1,1,1,1,1,32,690.861,246.5,3175.0,3137.0,38.0,0.2812,0.562,74.0
Qwen/Qwen3-8B,mmlu_hard,64,1,2,1,1,1,32,873.342,436.9,1996.0,1810.0,186.0,0.875,0.0,93.55
Qwen/Qwen3-8B,gsmhard,64,1,2,1,1,1,32,1015.131,385.5,2112.8,1896.3,216.5,0.7188,0.062,108.82
Qwen/Qwen3-8B,gpqa,64,1,2,1,1,1,32,1390.795,584.9,6462.2,6291.9,170.4,0.3438,0.547,148.95
Qwen/Qwen3-8B,mmlu_hard,64,1,3,1,1,1,32,757.873,815.4,2256.3,1986.4,269.9,0.9062,0.0,81.29
Qwen/Qwen3-8B,gsmhard,64,1,3,1,1,1,32,1517.696,743.1,3119.1,2800.7,318.4,0.6875,0.073,162.76
Qwen/Qwen3-8B,gpqa,64,1,3,1,1,1,32,2065.702,963.2,9401.3,9261.6,139.7,0.3125,0.562,221.18
Qwen/Qwen3-8B,mmlu_hard,64,1,4,1,1,1,32,1093.307,1275.9,2918.5,2568.0,350.5,0.9062,0.008,117.16
Qwen/Qwen3-8B,gsmhard,64,1,4,1,1,1,32,2076.95,1232.2,4509.2,4054.7,454.4,0.7188,0.07,222.54
Qwen/Qwen3-8B,gpqa,64,1,4,1,1,1,32,2691.907,1409.8,11706.1,11480.2,225.9,0.4062,0.523,288.3
Qwen/Qwen3-8B,mmlu_hard,64,1,5,1,1,1,32,1375.195,1874.0,3476.1,3018.5,457.6,0.9062,0.006,147.46
Qwen/Qwen3-8B,gsmhard,64,1,5,1,1,1,32,2559.543,1805.4,5503.1,4977.4,525.7,0.7188,0.05,274.59
Qwen/Qwen3-8B,gpqa,64,1,5,1,1,1,32,3383.08,1932.2,14625.2,14363.8,261.4,0.4062,0.531,362.47
Qwen/Qwen3-8B,mmlu_hard,64,1,6,1,1,1,32,1569.174,2598.8,4052.8,3498.7,554.2,0.9062,0.0,168.24
Qwen/Qwen3-8B,gsmhard,64,1,6,1,1,1,32,3134.443,2506.2,6692.8,6036.1,656.8,0.6875,0.073,335.89
Qwen/Qwen3-8B,gpqa,64,1,6,1,1,1,32,4045.473,2554.3,17253.6,16920.4,333.2,0.3438,0.5,433.07
Qwen/Qwen3-8B,mmlu_hard,64,1,1,1,1,2,32,500.639,154.8,1125.9,1053.0,73.0,0.9062,0.031,53.66
Qwen/Qwen3-8B,gsmhard,64,1,1,1,1,2,32,512.262,121.5,1104.5,1018.2,86.3,0.8438,0.062,54.82
