model,task,decode_batch,team_size,rounds,carry_history,enable_thinking,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,per_query_think_tok,per_query_answer_tok,accuracy,trunc_frac,wall_latency_s
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,0,0,32,86.454,159.3,114.7,1.0,113.7,0.5938,0.0,9.24
Qwen/Qwen3-8B,gsmhard,64,1,1,0,0,0,32,491.965,126.3,497.8,0.9,496.9,0.1562,0.094,52.73
Qwen/Qwen3-8B,gpqa,64,1,1,0,0,0,32,45.429,349.7,105.3,1.0,104.3,0.3438,0.0,4.86
Qwen/Qwen3-8B,mmlu_hard,64,1,2,0,0,0,32,122.518,438.5,229.9,2.0,227.9,0.5625,0.0,13.21
Qwen/Qwen3-8B,gsmhard,64,1,2,0,0,0,32,539.351,393.2,667.2,1.9,665.2,0.375,0.047,57.9
Qwen/Qwen3-8B,gpqa,64,1,2,0,0,0,32,85.781,832.4,250.9,2.0,248.9,0.3438,0.0,9.26
Qwen/Qwen3-8B,mmlu_hard,64,1,3,0,0,0,32,236.663,735.1,378.2,3.0,375.2,0.5938,0.0,25.35
Qwen/Qwen3-8B,gsmhard,64,1,3,0,0,0,32,609.208,667.5,745.8,2.9,742.9,0.375,0.021,65.49
Qwen/Qwen3-8B,gpqa,64,1,3,0,0,0,32,126.834,1328.8,395.5,3.0,392.5,0.3125,0.0,13.73
Qwen/Qwen3-8B,mmlu_hard,64,1,4,0,0,0,32,1039.34,1037.1,729.1,3.9,725.2,0.625,0.016,111.29
Qwen/Qwen3-8B,gsmhard,64,1,4,0,0,0,32,658.74,940.7,1036.7,3.9,1032.8,0.375,0.023,70.77
Qwen/Qwen3-8B,gpqa,64,1,4,0,0,0,32,198.402,1828.1,550.0,4.0,546.0,0.3438,0.0,21.45
Qwen/Qwen3-8B,mmlu_hard,64,1,5,0,0,0,32,656.93,1333.5,722.2,5.0,717.2,0.6562,0.006,70.43
Qwen/Qwen3-8B,gsmhard,64,1,5,0,0,0,32,732.477,1213.4,1094.8,4.9,1089.8,0.375,0.013,78.64
Qwen/Qwen3-8B,gpqa,64,1,5,0,0,0,32,304.259,2322.0,744.7,5.0,739.8,0.3125,0.0,32.83
Qwen/Qwen3-8B,mmlu_hard,64,1,6,0,0,0,32,790.753,1635.1,888.7,6.0,882.7,0.5938,0.005,85.04
Qwen/Qwen3-8B,gsmhard,64,1,6,0,0,0,32,1165.722,1490.1,1190.8,5.9,1184.9,0.375,0.01,124.91
Qwen/Qwen3-8B,gpqa,64,1,6,0,0,0,32,370.637,2808.1,863.2,6.0,857.3,0.3438,0.0,39.89
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,0,1,32,24.908,160.6,82.5,1.0,81.5,0.6562,0.0,2.73
Qwen/Qwen3-8B,gsmhard,64,1,1,0,0,1,32,45.72,130.3,153.7,1.0,152.7,0.1875,0.0,4.96
Qwen/Qwen3-8B,gpqa,64,1,1,0,0,1,32,24.258,250.5,84.8,1.0,83.8,0.25,0.0,2.63
Qwen/Qwen3-8B,mmlu_hard,64,1,2,0,0,1,32,484.393,441.6,315.8,2.0,313.8,0.6875,0.016,52.0
Qwen/Qwen3-8B,gsmhard,64,1,2,0,0,1,32,108.273,402.6,324.2,2.0,322.2,0.3438,0.0,11.7
Qwen/Qwen3-8B,gpqa,64,1,2,0,0,1,32,85.68,625.1,229.6,2.0,227.6,0.25,0.0,9.21
Qwen/Qwen3-8B,mmlu_hard,64,1,3,0,0,1,32,525.517,744.4,450.9,3.0,447.9,0.6875,0.01,56.43
Qwen/Qwen3-8B,gsmhard,64,1,3,0,0,1,32,185.441,679.7,511.7,3.0,508.7,0.3438,0.0,19.96
Qwen/Qwen3-8B,gpqa,64,1,3,0,0,1,32,185.87,1020.2,381.1,3.0,378.1,0.25,0.0,19.94
Qwen/Qwen3-8B,mmlu_hard,64,1,4,0,0,1,32,136.172,1050.0,457.0,4.0,453.0,0.6875,0.0,14.86
Qwen/Qwen3-8B,gsmhard,64,1,4,0,0,1,32,250.669,957.0,672.2,4.0,668.2,0.375,0.0,26.97
Qwen/Qwen3-8B,gpqa,64,1,4,0,0,1,32,178.929,1414.7,507.5,4.0,503.5,0.25,0.0,19.31
Qwen/Qwen3-8B,mmlu_hard,64,1,5,0,0,1,32,137.741,1352.4,548.1,5.0,543.1,0.6875,0.0,14.9
Qwen/Qwen3-8B,gsmhard,64,1,5,0,0,1,32,281.442,1233.6,789.6,5.0,784.6,0.4062,0.0,30.29
Qwen/Qwen3-8B,gpqa,64,1,5,0,0,1,32,247.433,1807.1,638.6,5.0,633.6,0.25,0.0,26.65
Qwen/Qwen3-8B,mmlu_hard,64,1,6,0,0,1,32,644.504,1655.8,833.8,6.0,827.8,0.7188,0.005,69.15
Qwen/Qwen3-8B,gsmhard,64,1,6,0,0,1,32,359.105,1509.8,993.2,6.0,987.2,0.375,0.0,38.62
Qwen/Qwen3-8B,gpqa,64,1,6,0,0,1,32,697.267,2199.8,871.5,6.0,865.6,0.25,0.005,74.85
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,0,2,32,26.62,158.8,84.8,1.0,83.8,0.5,0.0,2.93
Qwen/Qwen3-8B,gsmhard,64,1,1,0,0,2,32,480.555,125.5,377.5,0.9,376.5,0.1562,0.062,51.46
Qwen/Qwen3-8B,gpqa,64,1,1,0,0,2,32,42.696,344.4,93.1,1.0,92.1,0.3438,0.0,4.6
Qwen/Qwen3-8B,mmlu_hard,64,1,2,0,0,2,32,46.306,433.0,182.8,2.0,180.8,0.5625,0.0,5.03
Qwen/Qwen3-8B,gsmhard,64,1,2,0,0,2,32,524.517,391.3,506.9,1.9,504.9,0.3125,0.031,56.3
Qwen/Qwen3-8B,gpqa,64,1,2,0,0,2,32,101.765,815.7,232.5,2.0,230.5,0.3125,0.0,10.87
Qwen/Qwen3-8B,mmlu_hard,64,1,3,0,0,2,32,129.656,726.0,325.4,3.0,322.4,0.625,0.0,13.91
Qwen/Qwen3-8B,gsmhard,64,1,3,0,0,2,32,574.63,661.3,666.0,2.9,663.1,0.3125,0.021,61.67
Qwen/Qwen3-8B,gpqa,64,1,3,0,0,2,32,115.284,1303.5,349.1,3.0,346.1,0.3125,0.0,12.63
Qwen/Qwen3-8B,mmlu_hard,64,1,4,0,0,2,32,154.617,1024.0,425.2,4.0,421.2,0.5625,0.0,16.77
Qwen/Qwen3-8B,gsmhard,64,1,4,0,0,2,32,595.368,931.2,767.7,3.9,763.7,0.375,0.016,64.0
Qwen/Qwen3-8B,gpqa,64,1,4,0,0,2,32,168.962,1790.3,465.7,4.0,461.7,0.3125,0.0,18.33
Qwen/Qwen3-8B,mmlu_hard,64,1,5,0,0,2,32,245.441,1312.8,546.2,5.0,541.2,0.625,0.0,26.42
Qwen/Qwen3-8B,gsmhard,64,1,5,0,0,2,32,628.303,1200.2,918.6,5.0,913.6,0.4062,0.013,67.65
Qwen/Qwen3-8B,gpqa,64,1,5,0,0,2,32,223.736,2285.7,612.8,5.0,607.8,0.3438,0.0,24.18
Qwen/Qwen3-8B,mmlu_hard,64,1,6,0,0,2,32,266.294,1614.0,682.3,6.0,676.3,0.5938,0.0,28.62
Qwen/Qwen3-8B,gsmhard,64,1,6,0,0,2,32,670.534,1468.8,918.9,6.0,912.9,0.4062,0.005,71.96
Qwen/Qwen3-8B,gpqa,64,1,6,0,0,2,32,477.817,2766.2,812.6,6.0,806.6,0.3125,0.0,51.45
