model,task,decode_batch,team_size,rounds,carry_history,enable_thinking,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,per_query_think_tok,per_query_answer_tok,accuracy,trunc_frac,wall_latency_s
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,1,0,32,516.973,155.3,1303.4,1231.6,71.8,0.875,0.062,55.39
Qwen/Qwen3-8B,gsmhard,64,1,1,0,1,0,32,519.52,122.3,1276.2,1188.2,88.0,0.7812,0.094,55.66
Qwen/Qwen3-8B,gpqa,64,1,1,0,1,0,32,734.303,345.7,2968.5,2917.6,50.9,0.375,0.438,78.63
Qwen/Qwen3-8B,mmlu_hard,64,1,2,0,1,0,32,1031.853,428.3,2479.2,2315.2,164.0,0.8438,0.062,110.63
Qwen/Qwen3-8B,gsmhard,64,1,2,0,1,0,32,1023.101,373.9,2255.0,2050.9,204.1,0.7812,0.094,109.68
Qwen/Qwen3-8B,gpqa,64,1,2,0,1,0,32,1468.427,790.6,5865.7,5742.2,123.5,0.4062,0.406,157.35
Qwen/Qwen3-8B,mmlu_hard,64,1,3,0,1,0,32,1536.25,705.6,3281.7,3041.8,239.9,0.875,0.073,164.73
Qwen/Qwen3-8B,gsmhard,64,1,3,0,1,0,32,1539.994,633.5,3377.3,3041.7,335.7,0.8125,0.073,165.02
Qwen/Qwen3-8B,gpqa,64,1,3,0,1,0,32,2208.359,1227.5,8848.2,8661.3,186.9,0.375,0.438,236.64
Qwen/Qwen3-8B,mmlu_hard,64,1,4,0,1,0,32,2034.009,998.0,4367.4,4015.7,351.7,0.875,0.039,217.98
Qwen/Qwen3-8B,gsmhard,64,1,4,0,1,0,32,2031.191,886.9,4339.5,3955.0,384.6,0.7812,0.07,217.8
Qwen/Qwen3-8B,gpqa,64,1,4,0,1,0,32,2974.266,1673.3,11600.2,11373.5,226.7,0.3125,0.492,318.69
Qwen/Qwen3-8B,mmlu_hard,64,1,5,0,1,0,32,2548.621,1272.0,5357.7,4934.5,423.2,0.9062,0.056,273.18
Qwen/Qwen3-8B,gsmhard,64,1,5,0,1,0,32,2547.285,1140.7,5394.7,4909.1,485.7,0.8125,0.075,272.99
Qwen/Qwen3-8B,gpqa,64,1,5,0,1,0,32,3726.056,2107.4,14511.1,14239.1,271.9,0.2812,0.506,399.1
Qwen/Qwen3-8B,mmlu_hard,64,1,6,0,1,0,32,3093.192,1545.3,6707.8,6207.4,500.4,0.875,0.078,331.8
Qwen/Qwen3-8B,gsmhard,64,1,6,0,1,0,32,3025.228,1396.8,6180.8,5603.8,576.9,0.7812,0.062,324.24
Qwen/Qwen3-8B,gpqa,64,1,6,0,1,0,32,4430.4,2544.9,17143.8,16817.5,326.3,0.3438,0.5,474.71
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,1,1,32,340.719,156.6,992.5,906.9,85.6,0.9062,0.0,36.58
Qwen/Qwen3-8B,gsmhard,64,1,1,0,1,1,32,477.277,126.3,1143.5,1034.8,108.7,0.7188,0.0,51.21
Qwen/Qwen3-8B,gpqa,64,1,1,0,1,1,32,689.602,246.5,3142.8,3100.4,42.5,0.2812,0.531,73.86
Qwen/Qwen3-8B,mmlu_hard,64,1,2,0,1,1,32,813.19,433.7,1768.5,1597.6,170.9,0.9062,0.0,87.29
Qwen/Qwen3-8B,gsmhard,64,1,2,0,1,1,32,1025.731,385.3,2276.1,2065.9,210.2,0.7188,0.062,109.93
Qwen/Qwen3-8B,gpqa,64,1,2,0,1,1,32,1362.7,573.2,6157.7,6070.3,87.4,0.2812,0.547,145.92
Qwen/Qwen3-8B,mmlu_hard,64,1,3,0,1,1,32,839.419,722.7,2292.2,2025.6,266.6,0.875,0.0,90.0
Qwen/Qwen3-8B,gsmhard,64,1,3,0,1,1,32,1537.593,645.3,3335.6,3018.5,317.1,0.7188,0.083,164.92
