model,task,decode_batch,team_size,rounds,carry_history,enable_thinking,self_correct,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,per_query_think_tok,per_query_answer_tok,accuracy,trunc_frac,wall_latency_s
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,0,1,0,32,464.885,159.3,237.8,1.0,236.9,0.5938,0.031,49.86
Qwen/Qwen3-8B,gsmhard,64,1,1,0,0,1,0,32,492.443,126.3,497.8,0.9,496.9,0.1562,0.094,52.77
Qwen/Qwen3-8B,gpqa,64,1,1,0,0,1,0,32,44.853,349.7,105.3,1.0,104.3,0.3438,0.0,4.88
Qwen/Qwen3-8B,mmlu_hard,64,1,2,0,0,1,0,32,520.997,450.8,395.9,2.0,394.0,0.625,0.016,55.81
Qwen/Qwen3-8B,gsmhard,64,1,2,0,0,1,0,32,570.114,401.3,513.1,2.0,511.1,0.4688,0.016,61.2
Qwen/Qwen3-8B,gpqa,64,1,2,0,0,1,0,32,146.603,846.6,384.3,2.0,382.3,0.3125,0.0,15.78
Qwen/Qwen3-8B,mmlu_hard,64,1,3,0,0,1,0,32,616.518,769.6,600.2,3.0,597.2,0.6562,0.01,66.13
Qwen/Qwen3-8B,gsmhard,64,1,3,0,0,1,0,32,716.074,683.0,1062.8,2.9,1059.9,0.4688,0.031,76.81
Qwen/Qwen3-8B,gpqa,64,1,3,0,0,1,0,32,677.518,1359.7,760.1,3.0,757.1,0.375,0.01,72.66
Qwen/Qwen3-8B,mmlu_hard,64,1,4,0,0,1,0,32,722.142,1088.4,969.5,3.9,965.6,0.625,0.016,77.53
Qwen/Qwen3-8B,gsmhard,64,1,4,0,0,1,0,32,823.451,963.9,1347.7,3.9,1343.8,0.5312,0.023,88.18
Qwen/Qwen3-8B,gpqa,64,1,4,0,0,1,0,32,520.113,1869.3,1051.8,4.0,1047.8,0.3125,0.0,55.95
Qwen/Qwen3-8B,mmlu_hard,64,1,5,0,0,1,0,32,1961.8,1409.5,1520.9,4.9,1516.0,0.6562,0.031,210.31
Qwen/Qwen3-8B,gsmhard,64,1,5,0,0,1,0,32,1130.111,1243.3,1508.2,5.0,1503.2,0.5938,0.013,121.34
Qwen/Qwen3-8B,gpqa,64,1,5,0,0,1,0,32,864.015,2387.5,1350.2,4.9,1345.3,0.2812,0.006,92.8
Qwen/Qwen3-8B,mmlu_hard,64,1,6,0,0,1,0,32,1790.242,1731.8,1674.2,5.9,1668.2,0.5938,0.021,192.01
Qwen/Qwen3-8B,gsmhard,64,1,6,0,0,1,0,32,1311.136,1526.7,1944.2,5.9,1938.3,0.5625,0.016,140.74
Qwen/Qwen3-8B,gpqa,64,1,6,0,0,1,0,32,961.101,2903.1,1656.2,6.0,1650.2,0.3438,0.005,103.32
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,0,1,1,32,30.744,160.6,87.2,1.0,86.2,0.7188,0.0,3.34
Qwen/Qwen3-8B,gsmhard,64,1,1,0,0,1,1,32,47.558,130.3,159.2,1.0,158.2,0.2188,0.0,5.14
Qwen/Qwen3-8B,gpqa,64,1,1,0,0,1,1,32,23.97,250.5,84.8,1.0,83.8,0.25,0.0,2.64
Qwen/Qwen3-8B,mmlu_hard,64,1,2,0,0,1,1,32,75.748,453.3,239.2,2.0,237.2,0.6875,0.0,8.22
Qwen/Qwen3-8B,gsmhard,64,1,2,0,0,1,1,32,138.476,411.6,400.8,2.0,398.8,0.5312,0.0,14.87
Qwen/Qwen3-8B,gpqa,64,1,2,0,0,1,1,32,136.504,636.1,301.4,2.0,299.4,0.3125,0.0,14.78
Qwen/Qwen3-8B,mmlu_hard,64,1,3,0,0,1,1,32,560.761,779.3,586.5,3.0,583.5,0.6875,0.01,60.07
Qwen/Qwen3-8B,gsmhard,64,1,3,0,0,1,1,32,235.822,697.6,640.3,3.0,637.3,0.6562,0.0,25.49
