model,task,decode_batch,team_size,rounds,carry_history,enable_thinking,self_correct,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,per_query_think_tok,per_query_answer_tok,accuracy,trunc_frac,wall_latency_s
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,1,1,0,32,516.511,155.3,1242.5,1174.1,68.4,0.8438,0.062,55.33
Qwen/Qwen3-8B,gsmhard,64,1,1,0,1,1,0,32,517.799,122.3,1276.2,1188.2,88.0,0.7812,0.094,55.55
Qwen/Qwen3-8B,gpqa,64,1,1,0,1,1,0,32,732.712,345.7,2968.5,2917.6,50.9,0.375,0.438,78.47
Qwen/Qwen3-8B,mmlu_hard,64,1,2,0,1,1,0,32,1023.344,436.4,2374.7,2200.2,174.4,0.875,0.047,109.71
Qwen/Qwen3-8B,gsmhard,64,1,2,0,1,1,0,32,1036.506,386.8,2557.8,2357.1,200.7,0.7812,0.062,111.02
Qwen/Qwen3-8B,gpqa,64,1,2,0,1,1,0,32,1437.612,804.2,5998.1,5857.6,140.4,0.4375,0.438,154.02
Qwen/Qwen3-8B,mmlu_hard,64,1,3,0,1,1,0,32,1537.483,737.2,3602.2,3330.7,271.5,0.9062,0.062,164.99
Qwen/Qwen3-8B,gsmhard,64,1,3,0,1,1,0,32,1552.34,648.4,3816.2,3503.7,312.5,0.8125,0.073,166.35
Qwen/Qwen3-8B,gpqa,64,1,3,0,1,1,0,32,2231.053,1250.7,9131.5,8946.6,185.0,0.3438,0.5,239.08
Qwen/Qwen3-8B,mmlu_hard,64,1,4,0,1,1,0,32,2092.066,1043.3,5133.5,4741.3,392.2,0.875,0.07,224.29
Qwen/Qwen3-8B,gsmhard,64,1,4,0,1,1,0,32,2083.169,910.9,5301.1,4897.5,403.6,0.8125,0.086,223.25
Qwen/Qwen3-8B,gpqa,64,1,4,0,1,1,0,32,3000.651,1717.2,12055.7,11766.7,289.0,0.3438,0.492,321.39
Qwen/Qwen3-8B,mmlu_hard,64,1,5,0,1,1,0,32,2560.875,1345.9,5761.1,5269.9,491.2,0.875,0.05,274.63
Qwen/Qwen3-8B,gsmhard,64,1,5,0,1,1,0,32,2644.569,1172.8,6949.0,6446.5,502.5,0.8125,0.106,283.39
Qwen/Qwen3-8B,gpqa,64,1,5,0,1,1,0,32,3792.638,2167.2,15183.6,14842.1,341.5,0.3438,0.5,406.5
Qwen/Qwen3-8B,mmlu_hard,64,1,6,0,1,1,0,32,3124.939,1651.9,7318.0,6719.4,598.6,0.875,0.062,335.09
Qwen/Qwen3-8B,gsmhard,64,1,6,0,1,1,0,32,3133.002,1439.3,7782.8,7165.6,617.2,0.8125,0.089,335.81
Qwen/Qwen3-8B,gpqa,64,1,6,0,1,1,0,32,4650.291,2603.5,18867.7,18455.9,411.8,0.3438,0.531,498.38
Qwen/Qwen3-8B,mmlu_hard,64,1,1,0,1,1,1,32,504.756,156.6,992.0,920.5,71.5,0.875,0.062,54.09
Qwen/Qwen3-8B,gsmhard,64,1,1,0,1,1,1,32,516.801,126.3,1255.6,1140.9,114.6,0.7188,0.062,55.38
Qwen/Qwen3-8B,gpqa,64,1,1,0,1,1,1,32,688.443,246.5,3145.9,3103.7,42.2,0.2812,0.531,73.79
