model_short,task,condition,team_size,comm_k,comm_round,n,p_sum,o_sum,p_mean,o_mean
gpt-oss-20b,arc,comm_true_k1,2,1,1,3495,1268124,711850,362.8394849785408,203.6766809728183
gpt-oss-20b,arc,comm_true_k1,2,1,2,3495,2164100,1673174,619.1988555078684,478.7336194563662
gpt-oss-20b,arc,comm_true_k1,2,1,3,3495,2240912,1530385,641.1765379113018,437.87839771101574
gpt-oss-20b,arc,comm_true_k14,15,14,1,3495,9510930,3895258,2721.296137339056,1114.5230329041487
gpt-oss-20b,arc,comm_true_k14,15,14,2,3495,51901073,3668703,14850.092417739628,1049.7004291845494
gpt-oss-20b,arc,comm_true_k14,15,14,3,3495,59987771,3695683,17163.882975679542,1057.4200286123032
gpt-oss-20b,arc,comm_true_k19,20,19,1,3495,12681240,5234238,3628.3948497854076,1497.6360515021458
gpt-oss-20b,arc,comm_true_k19,20,19,2,3495,87395810,4920758,25005.954220314736,1407.9422031473534
gpt-oss-20b,arc,comm_true_k19,20,19,3,3495,102404105,4936316,29300.173104434907,1412.393705293276
gpt-oss-20b,arc,comm_true_k2,3,2,1,3495,1902186,773890,544.2592274678111,221.4277539341917
gpt-oss-20b,arc,comm_true_k2,3,2,2,3495,3801048,864705,1087.567381974249,247.41201716738198
gpt-oss-20b,arc,comm_true_k2,3,2,3,3495,4069754,879729,1164.4503576537911,251.71072961373392
gpt-oss-20b,arc,comm_true_k24,25,24,1,3495,15851550,6543722,4535.49356223176,1872.3095851216024
gpt-oss-20b,arc,comm_true_k24,25,24,2,3495,132215790,6207108,37829.98283261803,1775.9965665236052
gpt-oss-20b,arc,comm_true_k24,25,24,3,3495,156550000,6251742,44792.56080114449,1788.767381974249
gpt-oss-20b,arc,comm_true_k29,30,29,1,3495,19021860,7892076,5442.592274678112,2258.104721030043
gpt-oss-20b,arc,comm_true_k29,30,29,2,3495,185952352,7587989,53205.250929899856,2171.098426323319
gpt-oss-20b,arc,comm_true_k29,30,29,3,3495,224431045,7594746,64214.89127324749,2173.0317596566524
gpt-oss-20b,arc,comm_true_k4,5,4,1,3495,3170310,1290105,907.0987124463519,369.12875536480686
gpt-oss-20b,arc,comm_true_k4,5,4,2,3495,8163256,1237795,2335.69556509299,354.16165951359085
gpt-oss-20b,arc,comm_true_k4,5,4,3,3495,8983930,1230757,2570.509298998569,352.14792560801146
gpt-oss-20b,arc,comm_true_k6,7,6,1,3495,4438434,1798166,1269.9381974248927,514.4967095851216
gpt-oss-20b,arc,comm_true_k6,7,6,2,3495,13993552,1722021,4003.877539341917,492.70987124463517
gpt-oss-20b,arc,comm_true_k6,7,6,3,3495,15644294,1711038,4476.1928469241775,489.5673819742489
gpt-oss-20b,arc,comm_true_k9,10,9,1,3495,6340620,2600063,1814.1974248927038,743.9379113018598
